date,value
1900-01-01,2.4835707650561636
1900-01-02,33.58707413267049
1900-01-03,71.79513194629565
1900-01-04,110.44992811287912
1900-01-05,135.9417954696965
1900-01-06,170.2192529890221
1900-01-07,213.56286718150292
1900-01-08,243.78022996294575
1900-01-09,271.87122346882705
1900-01-10,311.2061185530615
1900-01-11,340.4500346526314
1900-01-12,374.7112589676799
1900-01-13,412.5213815448407
1900-01-14,436.0156072465346
1900-01-15,471.2265314237243
1900-01-16,511.30736689645266
1900-01-17,543.3208027477366
1900-01-18,584.220716684535
1900-01-19,612.3721472013528
1900-01-20,644.1117005399241
1900-01-21,692.7604762995226
1900-01-22,718.5603243376437
1900-01-23,754.2816782677442
1900-01-24,781.0728837850993
1900-01-25,819.724952688253
1900-01-26,857.2492730391588
1900-01-27,885.1849362376681
1900-01-28,927.0609865820948
1900-01-29,956.4191418226104
1900-01-30,992.2008498143226
1900-01-31,1024.884811403928
1900-02-01,1071.3857020103278
1900-02-02,1096.284630427009
1900-02-03,1125.2881043376935
1900-02-04,1168.9105610819454
1900-02-05,1192.9113290660048
1900-02-06,1234.274007499355
1900-02-07,1257.6418106965853
1900-02-08,1295.0059306263436
1900-02-09,1336.8339925594275
1900-02-10,1373.7408689463743
1900-02-11,1405.1001494901896
1900-02-12,1437.855659308208
1900-02-13,1471.1146937151036
1900-02-14,1499.4095308027177
1900-02-15,1537.3803636272883
1900-02-16,1572.8492483602597
1900-02-17,1614.606222814521
1900-02-18,1645.2020828275772
1900-02-19,1668.8272788467357
1900-02-20,1713.4163945959035
1900-02-21,1744.0189637026485
1900-02-22,1776.702969053376
1900-02-23,1817.2838664230098
1900-02-24,1853.5129888839613
1900-02-25,1887.1413969395667
1900-02-26,1912.410311007557
1900-02-27,1949.1760346752358
1900-02-28,1986.488305754328
1900-03-01,2023.8136988658002
1900-03-02,2050.6380777594704
1900-03-03,2086.197519382892
1900-03-04,2115.679792844183
1900-03-05,2149.3097747221905
1900-03-06,2193.426362331921
1900-03-07,2230.2113425767434
1900-03-08,2257.1298834834274
1900-03-09,2296.5606713082534
1900-03-10,2327.397439387958
1900-03-11,2356.4029913167287
1900-03-12,2395.4678760145957
1900-03-13,2435.3762644949175
1900-03-14,2461.5249096498846
1900-03-15,2503.5378895651547
1900-03-16,2516.619149236292
1900-03-17,2567.8230615734924
1900-03-18,2598.1368283284246
1900-03-19,2630.1868686504
1900-03-20,2666.1131890428264
1900-03-21,2689.681086571745
1900-03-22,2732.4770828261085
1900-03-23,2769.309380311924
1900-03-24,2808.853425892349
1900-03-25,2832.804404797852
1900-03-26,2865.276649107435
1900-03-27,2900.72515317957
1900-03-28,2941.7171293606216
1900-03-29,2972.6813128757763
1900-03-30,3002.27735215238
1900-03-31,3041.3721426027205
1900-04-01,3073.1618010323637
1900-04-02,3111.3811008564203
1900-04-03,3136.8798270363973
1900-04-04,3172.594651600351
1900-04-05,3206.105843890088
1900-04-06,3234.5726840296743
1900-04-07,3277.1850853880414
1900-04-08,3310.814236068005
1900-04-09,3343.329152549812
1900-04-10,3375.9153244266145
1900-04-11,3403.7860299193
1900-04-12,3442.5241287325202
1900-04-13,3476.6680021628868
1900-04-14,3508.114055012988
1900-04-15,3545.052426191448
1900-04-16,3581.601968795315
1900-04-17,3622.7248497744963
1900-04-18,3647.8682607420637
1900-04-19,3681.9737203816308
1900-04-20,3713.9933806605063
1900-04-21,3738.4403407883897
1900-04-22,3781.5590587131933
1900-04-23,3815.6389547845406
1900-04-24,3861.288834212692
1900-04-25,3881.6341828986606
1900-04-26,3917.7155325831945
1900-04-27,3949.6343892026484
1900-04-28,3977.552954061984
1900-04-29,4022.6869985642306
1900-04-30,4054.2971339978676
1900-05-01,4088.045157107599
1900-05-02,4113.083432961228
1900-05-03,4158.172459143278
1900-05-04,4177.664994320642
1900-05-05,4221.111842080862
1900-05-06,4262.620586924971
1900-05-07,4280.193724873884
1900-05-08,4315.7802614249495
1900-05-09,4352.562496729684
1900-05-10,4382.98639814894
1900-05-11,4411.176942927979
1900-05-12,4452.686406272843
1900-05-13,4480.432152339572
1900-05-14,4521.498361346099
1900-05-15,4547.9065557028125
1900-05-16,4593.613076637332
1900-05-17,4615.293216647045
1900-05-18,4650.931505523862
1900-05-19,4689.927881469794
1900-05-20,4713.010509183956
1900-05-21,4753.592619792023
1900-05-22,4792.267378119177
1900-05-23,4810.956348227715
1900-05-24,4853.1646905602465
1900-05-25,4886.774249953019
1900-05-26,4922.6027239775985
1900-05-27,4945.712989742705
1900-05-28,4978.484855113594
1900-05-29,5020.871403298315
1900-05-30,5052.906239786642
1900-05-31,5085.81836657547
1900-06-01,5119.427595566054
1900-06-02,5147.40945078046
1900-06-03,5185.069731847421
1900-06-04,5218.457285278814
1900-06-05,5246.488097470013
1900-06-06,5292.441032426503
1900-06-07,5318.517905060783
1900-06-08,5343.212980489064
1900-06-09,5385.457102175987
1900-06-10,5410.289742330974
1900-06-11,5452.071272441803
1900-06-12,5486.885310098691
1900-06-13,5509.929089327988
1900-06-14,5551.773138161882
1900-06-15,5581.927408619005
1900-06-16,5616.864443167555
1900-06-17,5655.1120396697725
1900-06-18,5677.258262711638
1900-06-19,5707.5567493416065
1900-06-20,5739.701085464052
1900-06-21,5772.875736504001
1900-06-22,5809.358214907754
1900-06-23,5844.221126456693
1900-06-24,5876.653073752516
1900-06-25,5912.142301714984
1900-06-26,5940.790575730848
1900-06-27,5980.694735145759
1900-06-28,6004.787499420692
1900-06-29,6052.377471289367
1900-06-30,6074.552829864607
1900-07-01,6099.768501623351
1900-07-02,6131.311454669083
1900-07-03,6171.671641381717
1900-07-04,6200.71696488912
1900-07-05,6237.96082118699
1900-07-06,6269.294990211802
1900-07-07,6299.083987505758
1900-07-08,6327.714743257877
1900-07-09,6356.856208549947
1900-07-10,6394.660659086953
1900-07-11,6433.618976700478
1900-07-12,6462.832063454069
1900-07-13,6487.938279439434
1900-07-14,6527.418926685875
1900-07-15,6560.846231389246
1900-07-16,6586.847457097811
1900-07-17,6624.362850652715
1900-07-18,6656.19303437521
1900-07-19,6682.475093587922
1900-07-20,6722.246928684008
1900-07-21,6755.509957766375
1900-07-22,6790.349235045011
1900-07-23,6822.410737281069
1900-07-24,6842.440836984687
1900-07-25,6876.807128215089
1900-07-26,6916.218016362722
1900-07-27,6948.337777710979
1900-07-28,6980.4494199922965
1900-07-29,7029.222402711144
1900-07-30,7044.876896080898
1900-07-31,20271.50336273276
1900-08-01,7110.856870829598
1900-08-02,7141.344347753474
1900-08-03,7168.490327870925
1900-08-04,7205.819460697816
1900-08-05,20702.013518453394
1900-08-06,7264.691995759413
1900-08-07,7295.342614651198
1900-08-08,7330.050424390491
1900-08-09,7373.064150646831
1900-08-10,7383.982423962455
1900-08-11,7428.555936221571
1900-08-12,7448.844839795867
1900-08-13,7486.310347613811
1900-08-14,7525.8540570641335
1900-08-15,7552.447616159726
1900-08-16,7578.4319245771185
1900-08-17,7611.915988376319
1900-08-18,7650.539685879139
1900-08-19,7675.116291713557
1900-08-20,7711.453988920841
1900-08-21,7742.180175541366
1900-08-22,7770.251890213887
1900-08-23,7815.764049291078
1900-08-24,7839.725128240924
1900-08-25,7857.9176980520015
1900-08-26,7900.440140234011
1900-08-27,7927.639880147365
1900-08-28,7966.628315479325
1900-08-29,7989.797180427297
1900-08-30,8024.555942733339
1900-08-31,8059.000514261505
1900-09-01,8092.126325536517
1900-09-02,8113.093964742056
1900-09-03,8148.696670133224
1900-09-04,8179.243918497572
1900-09-05,8209.577113791634
1900-09-06,8252.8716992437
1900-09-07,8277.245464970492
1900-09-08,8300.06763247466
1900-09-09,8342.088132514156
1900-09-10,8379.2115563163
1900-09-11,8404.840143597612
1900-09-12,8423.133006305245
1900-09-13,8459.335629026747
1900-09-14,8499.09311042271
1900-09-15,8520.196682352384
1900-09-16,8556.905229306194
1900-09-17,8589.48494023735
1900-09-18,8611.877198650733
1900-09-19,8647.088656490076
1900-09-20,8662.028638120806
1900-09-21,8703.935895596185
1900-09-22,8738.591927677036
1900-09-23,8764.386771100075
1900-09-24,8809.532554422603
1900-09-25,8824.93840267311
1900-09-26,8860.581208083724
1900-09-27,8894.101072257576
1900-09-28,8931.293201253544
1900-09-29,8947.52042483445
1900-09-30,8991.101799318985
1900-10-01,9015.896643936541
1900-10-02,9041.470595553716
1900-10-03,9079.19438754049
1900-10-04,9108.357880348205
1900-10-05,9134.813098764946
1900-10-06,9168.587593753966
1900-10-07,9196.709123820096
1900-10-08,9229.573004783275
1900-10-09,9262.658325020715
1900-10-10,9297.592446301067
