date,value
2000-01-01,2.4835707650561636
2000-01-02,33.885390805813444
2000-01-03,72.38166593599495
2000-01-04,111.30448372854765
2000-01-05,137.03408673102302
2000-01-06,171.50891269014704
2000-01-07,214.99945897240664
2000-01-08,245.30326344446996
2000-01-09,273.4101722968548
2000-01-10,312.6804415464922
2000-01-11,341.7691998988929
2000-01-12,375.77477091863705
2000-01-13,413.2188110950686
2000-01-14,436.22662478504196
2000-01-15,470.8209428493351
2000-01-16,510.1451525861691
2000-01-17,541.2521594665388
2000-01-18,581.0861024241943
2000-01-19,608.0023289349721
2000-01-20,638.3278048780525
2000-01-21,685.3740430328344
2000-01-22,709.3733628503105
2000-01-23,743.0867268047857
2000-01-24,767.653071556147
2000-01-25,803.8540647893201
2000-01-26,838.6918181731829
2000-01-27,863.6962172137509
2000-01-28,902.3871735725496
2000-01-29,928.2973483561078
2000-01-30,960.3592114826105
2000-01-31,989.0425672588075
2000-02-01,1031.2532786267536
2000-02-02,1051.563728607411
2000-02-03,1075.6717884318198
2000-02-04,1114.083350895755
2000-02-05,1132.54929433238
2000-02-06,1168.044864882626
2000-02-07,1185.2050233021278
2000-02-08,1216.01280998576
2000-02-09,1250.9278030610806
2000-02-10,1280.556934680332
2000-02-11,1304.2659634759127
2000-02-12,1328.9909950726153
2000-02-13,1353.8317191879446
2000-02-14,1373.3129244954966
2000-02-15,1402.0674330613206
2000-02-16,1427.9100507087503
2000-02-17,1459.6236877229194
2000-02-18,1479.7521373758132
2000-02-19,1492.4789746162967
2000-02-20,1525.732036804099
2000-02-21,1544.5542423657942
2000-02-22,1565.007092140021
2000-02-23,1592.8996949577588
2000-02-24,1615.9771739618327
2000-02-25,1635.9845186103032
2000-02-26,1647.1570189887154
2000-02-27,1669.3451908523596
2000-02-28,1691.5931284259743
2000-02-29,1713.3619086906674
2000-03-01,1724.1320453623794
2000-03-02,1743.1344145758746
2000-03-03,1755.5517354184556
2000-03-04,1771.603986766324
2000-03-05,1797.625322031068
2000-03-06,1815.7929394473406
2000-03-07,1823.5675749973702
2000-03-08,1843.3236408601276
2000-03-09,1853.9507555585074
2000-03-10,1862.2077683853674
2000-03-11,1879.9814356733925
2000-03-12,1898.0522987161207
2000-03-13,1901.8136446587353
2000-03-14,1920.8862508693771
2000-03-15,1910.4709276633625
2000-03-16,1937.6190802664776
2000-03-17,1943.3151106509008
2000-03-18,1950.182806950685
2000-03-19,1960.3597142275187
2000-03-20,1957.608838438309
